year,continent,total
1924,Americas,5
1924,Europe,44
1924,Other,1
1928,Americas,7
1928,Europe,33
1928,Other,1
1932,Americas,19
1932,Europe,23
1936,Americas,5
1936,Europe,46
1948,Americas,12
1948,Europe,55
1948,Other,1
1952,Americas,13
1952,Europe,54
1956,Americas,10
1956,Asia,1
1956,Europe,61
1960,Americas,14
1960,Europe,66
1960,Other,1
1964,Americas,10
1964,Asia,1
1964,Europe,92
1964,Other,1
1968,Americas,10
1968,Europe,87
1968,Other,9
1972,Americas,9
1972,Asia,3
1972,Europe,76
1972,Other,17
1976,Americas,13
1976,Europe,78
1976,Other,20
1980,Americas,14
1980,Asia,1
1980,Europe,76
1980,Other,24
1984,Americas,12
1984,Asia,1
1984,Europe,73
1984,Other,31
1988,Americas,11
1988,Asia,1
1988,Europe,95
1988,Other,31
1992,Americas,18
1992,Asia,15
1992,Europe,111
1992,Oceania,1
1992,Other,26
1994,Americas,26
1994,Asia,18
1994,Europe,138
1994,Oceania,1
1998,Americas,28
1998,Asia,26
1998,Europe,150
1998,Oceania,1
2002,Americas,51
2002,Asia,14
2002,Europe,167
2002,Oceania,2
2006,Americas,49
2006,Asia,23
2006,Europe,178
2006,Oceania,2
2010,Americas,63
2010,Asia,31
2010,Europe,161
2010,Oceania,3
2014,Americas,53
2014,Asia,26
2014,Europe,212
2014,Oceania,3
2018,Americas,52
2018,Asia,40
2018,Europe,210
2018,Oceania,5
2022,Americas,51
2022,Asia,42
2022,Europe,196
2022,Oceania,7
2022,Other,32
